id,question,student_answer,correct_answer,grade_level,subject,misconception_type,expected_feedback
89,A triangle has two angles of 60 degrees each. What is the third angle?,The third angle is 60 degrees but I am not sure.,The third angle is 60 degrees.,Grade 6,Math,Geometry angle confusion,Excellent! You were right to trust yourself. Since all angles in a triangle add up to 180 degrees: 60 + 60 + third angle = 180. So the third angle = 180 - 120 = 60 degrees. This is actually an equilateral triangle where all angles are equal. Remember: triangle angles always add up to 180°!
90,What is a reflex angle?,A reflex angle is less than 90 degrees.,A reflex angle is greater than 180 degrees and less than 360 degrees.,Grade 7,Math,Geometry angle confusion,Good try! Less than 90 degrees is an acute angle. A reflex angle is much larger. It is bigger than a straight angle (180°) and can go all the way up to just under a full rotation (360°). Think of it as the larger portion when you divide a circle. Remember: reflex angle is between 180° and 360°!
91,What is the sum of angles in a quadrilateral?,The sum is 180 degrees.,The sum of angles in a quadrilateral is 360 degrees.,Grade 7,Math,Geometry angle confusion,Almost there! 180 degrees is the sum for a triangle. A quadrilateral has one more side and one more angle. You can divide any quadrilateral into two triangles each with 180° so total = 2 × 180 = 360 degrees. Remember: triangle = 180° and quadrilateral = 360°!
92,What type of angle is exactly 90 degrees?,A 90 degree angle is an obtuse angle.,A 90 degree angle is called a right angle.,Grade 4,Math,Geometry angle confusion,Good effort! Obtuse angles are greater than 90 degrees. An angle that is exactly 90 degrees has a special name: right angle. You can see right angles in the corners of squares and rectangles. They are often marked with a small square symbol. Remember: exactly 90° = right angle!
93,What is 234 + 189?,234 + 189 = 313.,234 + 189 = 423.,Grade 3,Math,Place value misunderstanding,Good try! Let us add step by step. Ones: 4 + 9 = 13. Write 3 carry 1. Tens: 3 + 8 + 1 carried = 12. Write 2 carry 1. Hundreds: 2 + 1 + 1 carried = 4. Answer: 423. It looks like you forgot to carry. Remember: always carry the extra digit to the next place value!
94,What is 500 - 263?,500 - 263 = 337.,500 - 263 = 237.,Grade 4,Math,Place value misunderstanding,Almost there! This requires borrowing. Ones: 0 - 3 cannot work so borrow from tens. But tens is also 0 so borrow from hundreds. After borrowing: 10 - 3 = 7. Tens: 9 - 6 = 3. Hundreds: 4 - 2 = 2. Answer: 237. Remember: borrow carefully when subtracting and always check each place value!
95,What is 3 × 124?,3 × 124 = 362.,3 × 124 = 372.,Grade 4,Math,Multiplication and division confusion,Good effort! Multiply each digit separately. 3 × 4 = 12 write 2 carry 1. 3 × 2 = 6 + 1 carried = 7. 3 × 1 = 3. Answer: 372. It looks like you made a small error in the tens place. Remember: multiply digit by digit from right to left and carry correctly!
96,What is 15% of 200?,15% of 200 is 30.,15% of 200 is 30.,Grade 7,Math,Basic algebra error,Excellent! You got it perfectly right. To find 15% of 200: convert 15% to decimal (0.15) then multiply: 0.15 × 200 = 30. Alternatively: 10% of 200 = 20 and 5% of 200 = 10 so 15% = 20 + 10 = 30. Remember: percentage means per hundred so 15% = 15/100!
97,What is the next number in the pattern 2 4 8 16 _?,The next number is 18.,The next number is 32.,Grade 5,Math,Basic algebra error,Good try! This is not an addition pattern. Each number is being multiplied by 2 not added by 2. 2 × 2 = 4. 4 × 2 = 8. 8 × 2 = 16. 16 × 2 = 32. Remember: always check if a pattern uses multiplication not just addition!
98,Solve: What is the average of 10 20 and 30?,The average is 30.,The average is 20.,Grade 6,Math,Basic algebra error,Almost there! The average is not the largest number. To find the average add all numbers and divide by how many there are. 10 + 20 + 30 = 60. Divide by 3: 60 ÷ 3 = 20. Remember: average = sum of all values ÷ number of values!
99,A plant cell has a cell wall but does an animal cell?,Yes animal cells also have a thick cell wall like plants.,No animal cells do not have a cell wall. Only plant cells have a cell wall.,Grade 7,Science,Misunderstanding of photosynthesis,Good try! Both plant and animal cells have a cell membrane but only plant cells have an additional rigid cell wall outside the membrane. This cell wall gives plant cells their firm boxy shape. Animal cells are more flexible because they lack this wall. Remember: cell wall = plant cells only!
100,What is the difference between a renewable and non-renewable resource?,Renewable resources are resources that are very expensive.,Renewable resources can be naturally replenished while non-renewable resources cannot be replaced once used.,Grade 6,Science,Habitat and adaptation confusion,Good effort! The difference is not about cost. Renewable resources like sunlight wind and water can be naturally replaced over time. Non-renewable resources like coal and oil took millions of years to form and will run out once used. Remember: renewable = can be replaced and non-renewable = cannot be replaced!
